task,model,variant,cfg_label,score,score_col
STSBenchmark,LLaDA Instruct,instruct,idf_mean+last,0.6679584991140444,Score
STSBenchmark,LLaDA Instruct,instruct,mean+last,0.646692949796829,Score
STSBenchmark,LLaDA Instruct,instruct,mean_no_special+last,0.646692949796829,Score
STSBenchmark,LLaDA Instruct,instruct,mean+indices(idx25-32),0.6408989072809196,Score
STSBenchmark,LLaDA Instruct,instruct,mean_no_special+indices(idx25-32),0.6408989072809196,Score
STSBenchmark,LLaDA Instruct,instruct,idf_mean+indices(idx13-20),0.6179489946800134,Score
STSBenchmark,LLaDA Instruct,instruct,max+last,0.612436185350431,Score
STSBenchmark,LLaDA Instruct,instruct,max+indices(idx1-8),0.6064596200531036,Score
STSBenchmark,LLaDA Instruct,instruct,idf_mean+indices(idx1-8),0.5784183235397953,Score
STSBenchmark,LLaDA Instruct,instruct,max+last4,0.5516010551587757,Score
STSBenchmark,LLaDA Instruct,instruct,mean+indices(idx13-20),0.5343477945235404,Score
STSBenchmark,LLaDA Instruct,instruct,mean_no_special+indices(idx13-20),0.5343477945235404,Score
STSBenchmark,LLaDA Instruct,instruct,mean+indices(idx1-8),0.5191131106980832,Score
STSBenchmark,LLaDA Instruct,instruct,mean_no_special+indices(idx1-8),0.5191131106980832,Score
STSBenchmark,LLaDA Instruct,instruct,max+indices(idx25-32),0.5001407414666833,Score
STSBenchmark,LLaDA Instruct,instruct,max+indices(idx13-20),0.477883636895197,Score
STSBenchmark,LLaDA Instruct,instruct,eos+indices(idx1-8),0.2648517315167547,Score
STSBenchmark,LLaDA Instruct,instruct,eos+last4,0.205396343526534,Score
STSBenchmark,LLaDA Instruct,instruct,eos+last,0.2017014996576455,Score
STSBenchmark,LLaDA Instruct,instruct,eos+indices(idx25-32),0.1735817486726305,Score
STSBenchmark,LLaDA Instruct,instruct,eos+indices(idx13-20),0.113427525203559,Score
STSBenchmark,Llama,base,idf_mean+indices(idx25-32),0.5792552002659188,Score
STSBenchmark,Llama,base,idf_mean+last4,0.5716214093155673,Score
STSBenchmark,Llama,base,idf_mean+last,0.5330056024079824,Score
STSBenchmark,Llama,base,mean_no_special+indices(idx25-32),0.5205852189262705,Score
STSBenchmark,Llama,base,mean_no_special+last4,0.5062990923242168,Score
STSBenchmark,Llama,base,mean_no_special+indices(idx1-8),0.4971280234126835,Score
STSBenchmark,Llama,base,max+indices(idx25-32),0.4846248040587729,Score
STSBenchmark,Llama,base,mean_no_special+indices(idx13-20),0.4752159412793501,Score
STSBenchmark,Llama,base,max+last4,0.4625191422941118,Score
STSBenchmark,Llama,base,mean+last,0.4589874821267945,Score
STSBenchmark,Llama,base,mean_no_special+last,0.4576526616108298,Score
STSBenchmark,Llama,base,eos+indices(idx25-32),0.4356043397441304,Score
STSBenchmark,Llama,base,eos+last4,0.435330164010521,Score
STSBenchmark,Llama,base,max+indices(idx1-8),0.4327305930809464,Score
STSBenchmark,Llama,base,max+indices(idx13-20),0.4266773269056708,Score
STSBenchmark,Llama,base,max+last,0.4249831390538299,Score
STSBenchmark,Llama,base,mean+last4,0.4088495276341396,Score
STSBenchmark,Llama,base,eos+last,0.3937117582879348,Score
STSBenchmark,Llama,base,eos+indices(idx13-20),0.373558421624055,Score
STSBenchmark,Llama,base,idf_mean+indices(idx13-20),0.3628096131217611,Score
STSBenchmark,Llama,base,mean+indices(idx25-32),0.3604091055436531,Score
